1398,gi|6321297|ref|NP_011374.1|,"Protein with similarity to hect domain E3 ubiquitin-protein ligases, not essential for viability; Hul5p [Saccharomyces cerevisiae] ",910,105566,6.4,o,Q,HUL5,YGL141W,VII,1,1,0,1,1,1,1.87,0.00001207,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000012,1,2,3,0,2,3,3,3.96,0.00003659,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.87,0.00002526,X,X,X,X,X,X,X,X,0.000031,2,1,1,0,1,1,1,1.87,0.00001132,1,1,0,1,1,1,2.09,0.00001079,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.09,0.00001279,0.000012,3,2,3,0,2,3,3,4.29,0.00003149,2,3,0,2,3,3,3.85,0.00003218,1,1,0,1,1,1,2.09,0.00001058,1,2,0,1,2,2,1.87,0.00002131,0.000024,4,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.09,0.00001118,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000011,1,X,X,X,X,X,X,X,X,2,2,0,2,2,2,3.96,0.00001958,2,3,0,2,3,3,3.96,0.00003161,2,3,0,2,3,3,3.85,0.00002894,0.000027,3,,
1399,gi|6324190|ref|NP_014260.1|,"Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids; Rlr1p [Saccharomyces cerevisiae] ",1597,183930,7.7,o,Q,RLR1,YNL139C,XIV,1,1,0,1,1,1,1.5,0.00000688,1,1,0,1,1,1,0.69,0.00000641,3,4,0,3,4,4,3.51,0.00002251,1,3,0,1,3,3,0.94,0.00002066,0.000014,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1,0.0000072,1,2,0,1,2,2,1,0.0000131,0.00001,2,X,X,X,X,X,X,X,X,2,4,0,2,4,4,1.57,0.00002459,X,X,X,X,X,X,X,X,2,4,0,2,4,4,1.69,0.00002915,0.000027,2,1,1,0,1,1,1,1.57,0.00000598,1,2,0,1,2,2,0.75,0.00001222,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000009,2,X,X,X,X,X,X,X,X,2,4,0,2,4,4,2.13,0.00002548,X,X,X,X,X,X,X,X,2,2,0,2,2,2,2,0.0000119,0.000019,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,0.94,0.00001116,X,X,X,X,X,X,X,X,2,3,0,2,3,3,1.63,0.00001649,0.000014,2,,
1400,gi|6320952|ref|NP_011031.1|,"Abundant subunit of the nuclear pore complex (NPC), present on both sides of the NPC, has similarity to Nup170p; Nup157p [Saccharomyces cerevisiae] ",1391,156649,6.4,o,Q,NUP157,YER105C,V,X,X,X,X,X,X,X,X,1,3,0,1,3,3,1.01,0.00002208,1,1,0,1,1,1,1.65,0.00000646,X,X,X,X,X,X,X,X,0.000014,2,1,1,0,1,1,1,1.01,0.00000798,X,X,X,X,X,X,X,X,2,3,0,2,3,3,2.52,0.00002479,X,X,X,X,X,X,X,X,0.000016,2,2,4,0,2,4,4,3.24,0.00002962,1,2,0,1,2,2,1.51,0.00001411,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000022,2,3,3,0,3,3,3,4.46,0.0000206,1,1,0,1,1,1,0.93,0.00000702,2,2,0,2,2,2,2.16,0.00001384,1,1,0,1,1,1,1.58,0.00000697,0.000012,4,1,2,0,1,2,2,1.51,0.00001293,1,1,0,1,1,1,0.93,0.00000731,1,1,0,1,1,1,1.51,0.00000843,X,X,X,X,X,X,X,X,0.00001,3,1,2,0,1,2,2,1.51,0.0000126,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000013,1,,
1401,gi|6321196|ref|NP_011273.1|,"Karyopherin, responsible for nuclear import of Spt15p, histones H2A and H2B, and Nap1p; amino terminus shows similarity to those of other importins, particularly Cse1p; localization is primarily nuclear; Kap114p [Saccharomyces cerevisiae] ",1004,113921,4.7,o,Q,KAP114,YGL241W,VII,1,1,0,1,1,1,1.79,0.00001094,1,2,0,1,2,2,1.79,0.00002039,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.79,0.00002191,0.000018,3,1,1,0,1,1,1,1.79,0.00001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.79,0.00001042,0.000011,2,1,2,0,1,2,2,1.79,0.00002052,1,1,0,1,1,1,1.79,0.00000978,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000015,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.99,0.00000972,1,1,0,1,1,1,1.79,0.00000959,X,X,X,X,X,X,X,X,0.00001,2,3,3,0,3,3,3,5.28,0.00002687,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.39,0.00000947,0.000018,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.79,0.00000887,1,1,0,1,1,1,1.79,0.00000955,2,2,0,2,2,2,3.78,0.00001749,0.000012,3,,
1402,gi|6323915|ref|NP_013986.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR259C is not an essential gene; Ymr259cp [Saccharomyces cerevisiae] ,1420,163577,6.6,o,Q,,YMR259C,XIII,1,1,0,1,1,1,0.7,0.00000773,X,X,X,X,X,X,X,X,2,2,0,2,2,2,1.76,0.00001266,X,X,X,X,X,X,X,X,0.00001,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.13,0.0000081,1,1,0,1,1,1,0.92,0.00000737,0.000008,2,1,1,0,1,1,1,1.2,0.00000725,1,1,0,1,1,1,1.06,0.00000691,3,5,0,3,5,5,2.96,0.00003744,X,X,X,X,X,X,X,X,0.000017,3,5,6,0,5,6,6,5.56,0.00004036,3,4,0,3,4,4,3.03,0.0000275,2,4,0,2,4,4,2.61,0.00002712,3,3,0,3,3,3,4.37,0.00002049,0.000029,4,1,1,0,1,1,1,0.7,0.00000633,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000006,1,1,1,0,1,1,1,0.92,0.00000617,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.27,0.00000618,0.000006,2,,
1403,gi|6321020|ref|NP_011099.1|,RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD; Brr2p [Saccharomyces cerevisiae] ,2163,246183,5.5,o,Q,BRR2,YER172C,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3,3,0,3,3,3,1.85,0.00001247,X,X,X,X,X,X,X,X,0.000012,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3,3,0,3,3,3,1.99,0.00001594,2,4,0,2,4,4,1.06,0.00001934,0.000018,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.11,0.00000492,1,1,0,1,1,1,0.69,0.00000538,0.000005,2,X,X,X,X,X,X,X,X,2,3,0,2,3,3,1.29,0.00001354,1,1,0,1,1,1,1.06,0.00000445,1,1,0,1,1,1,0.55,0.00000448,0.000007,3,1,1,0,1,1,1,0.69,0.00000416,1,1,0,1,1,1,0.46,0.0000047,2,2,0,2,2,2,2.03,0.00001085,1,1,0,1,1,1,0.69,0.00000439,0.000006,4,2,2,0,2,2,2,1.2,0.0000081,X,X,X,X,X,X,X,X,3,3,0,3,3,3,2.22,0.0000133,X,X,X,X,X,X,X,X,0.000011,2,,
1404,gi|10383770|ref|NP_009909.2|;gi|14318520|ref|NP_116653.1|;gi|20336767|ref|NP_620387.1|;gi|6319468|ref|NP_009549.1|;gi|6320985|ref|NP_011064.1|;gi|6322489|ref|NP_012562.1|;gi|7839150|ref|NP_058138.1|;gi|7839154|ref|NP_058142.1|;gi|7839160|ref|NP_058148.1|;,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes; Ycl019wp [Saccha",1770,202095,8.2,o,Q,,YCL019W,III,5,6,6,0,0,1.861111111,5.37,0.00001154,X,X,X,X,X,X,X,X,3,2,2,0,0,0.236111111,1.58,0.0000012,2,4,4,0,0,0.5,2.09,0.00000311,0.000005,3,X,X,X,X,X,X,X,X,1,2,2,0,0,0.25,1.19,0.00000173,X,X,X,X,X,X,X,X,2,2,2,0,0,0.222222222,1.07,0.00000131,0.000002,2,X,X,X,X,X,X,X,X,2,1,1,0,0,0.111111111,1.07,0.00000062,1,1,1,0,0,0.125,1.19,0.00000075,1,1,1,0,0,0.125,1.41,0.00000082,0.000001,3,X,X,X,X,X,X,X,X,1,1,1,0,0,0.125,1.41,0.00000069,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000001,1,3,5,5,0,0,1.375,3.84,0.00000699,4,5,5,0,0,1.375,3.28,0.0000079,3,4,4,0,0,1.222222222,1.81,0.0000081,3,3,3,0,0,0.347222222,2.03,0.00000186,0.000006,4,4,7,7,0,0,0.833333333,2.77,0.00000412,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000004,1,,
1405,gi|6325178|ref|NP_015246.1|,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl21Ap and has similarity to rat L21 ribosomal protein; Rpl21bp [Saccharomyces cerevisiae] ",160,18274,10.4,o,Q,RPL21B,YPL079W,XVI,5,8,7,1,1,8,44.38,0.00054898,X,X,X,X,X,X,X,X,3,4,1,2,3,4,15.63,0.00022473,X,X,X,X,X,X,X,X,0.000387,2,4,6,5,1,1,6,23.13,0.00041627,1,1,0,0,1,1,5,0.00007668,1,1,1,0,0,0,5,X,X,X,X,X,X,X,X,X,0.000246,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,0,2,2,5,0.00013292,2,3,0,0,3,3,11.25,0.00021819,0.000176,2,1,2,2,0,0,0,5,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,6.88,0.00012035,1,1,0,0,1,1,13.13,0.00006061,0.00009,2,4,8,7,1,1,3.333333333,36.88,0.00018736,2,2,0,0,2,2,10.63,0.00012715,X,X,X,X,X,X,X,X,2,3,0,0,3,3,10,0.00017822,0.000164,3,1,3,0,0,3,3,13.13,0.00016425,X,X,X,X,X,X,X,X,2,3,0,0,3,3,10.63,0.00017977,X,X,X,X,X,X,X,X,0.000172,2,,
1406,gi|6324198|ref|NP_014268.1|,Component of the TOM (translocase of outer membrane) complex responsible for initial import of mitochondrially directed proteins; acts as a receptor for precursor proteins and mediates interaction between the TOM and TIM complexes; Tom22p [Saccharomyces c,152,16790,4.1,o,Q,TOM22,YNL131W,XIV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,21.05,0.00021711,0.000217,1,1,2,0,1,2,2,11.18,0.00014606,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000146,1,X,X,X,X,X,X,X,X,1,2,0,1,2,2,11.18,0.00012916,1,1,0,1,1,1,9.87,0.00006996,X,X,X,X,X,X,X,X,0.0001,2,2,3,0,2,3,3,21.05,0.00018851,X,X,X,X,X,X,X,X,1,1,0,1,1,1,9.87,0.00006334,1,3,0,1,3,3,11.18,0.00019139,0.000148,3,2,3,0,2,3,3,21.05,0.0001775,2,2,0,2,2,2,16.45,0.00013385,X,X,X,X,X,X,X,X,1,2,0,1,2,2,11.18,0.00012507,0.000145,3,X,X,X,X,X,X,X,X,1,3,0,1,3,3,11.18,0.00017584,1,2,0,1,2,2,11.18,0.00012616,1,2,0,1,2,2,15.79,0.00011551,0.000139,3,,
1407,gi|6320200|ref|NP_010280.1|,"Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated; Atp16p [Saccharomyces cerevisiae] ",160,17020,6.5,o,Q,ATP16,YDL004W,IV,2,2,0,2,2,2,32.5,0.00013725,2,4,0,2,4,4,32.5,0.00025593,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000197,2,2,3,2,1,1,1.025641026,26.25,0.00007116,X,X,X,X,X,X,X,X,1,2,2,0,0,0,4.38,X,1,1,1,0,0,0,4.38,X,0.000071,1,1,1,0,1,1,1,17.5,0.00006438,2,3,1,1,2,2.025974026,23.75,0.0001243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000094,2,3,6,0,3,6,6,33.13,0.00035817,1,1,0,1,1,1,18.13,0.00006101,3,4,0,3,4,4,18.13,0.0002407,1,3,0,1,3,3,15,0.00018182,0.00021,4,1,1,0,1,1,1,17.5,0.00005621,1,2,0,1,2,2,17.5,0.00012715,X,X,X,X,X,X,X,X,2,3,1,1,2,2.009569378,26.25,0.00011938,0.000101,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,17.5,0.00010973,0.00011,1,,
1408,gi|99030930|ref|NP_014089.2|,Heat shock protein with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; Zim17p [Saccharomyces cerevisiae] ,174,19855,9.4,o,Q,ZIM17,YNL310C,XIV,2,4,0,2,4,4,13.22,0.0002524,X,X,X,X,X,X,X,X,1,4,0,1,4,4,8.62,0.00020664,X,X,X,X,X,X,X,X,0.00023,2,1,2,0,1,2,2,8.62,0.00012759,X,X,X,X,X,X,X,X,1,2,0,1,2,2,8.62,0.00013213,X,X,X,X,X,X,X,X,0.00013,2,X,X,X,X,X,X,X,X,1,3,0,1,3,3,8.62,0.00016925,X,X,X,X,X,X,X,X,1,2,0,1,2,2,8.62,0.00013375,0.000152,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,8.62,0.0000561,1,2,0,1,2,2,8.62,0.00011067,1,2,0,1,2,2,8.62,0.00011146,0.000093,3,X,X,X,X,X,X,X,X,1,1,0,1,1,1,8.62,0.00005846,X,X,X,X,X,X,X,X,1,2,0,1,2,2,8.62,0.00010926,0.000084,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,8.62,0.0000512,X,X,X,X,X,X,X,X,1,2,0,1,2,2,8.62,0.0001009,0.000076,2,,
1409,gi|6319259|ref|NP_009342.1|,"Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export; Ecm1p [Saccharomyces cerevisiae] ",212,23935,9.6,o,Q,ECM1,YAL059W,I,2,3,0,2,3,3,17.92,0.00015537,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000155,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,17.92,0.00014801,0.000148,1,1,1,0,1,1,1,6.13,0.00004859,2,2,0,2,2,2,17.92,0.00009261,4,6,0,4,6,6,29.25,0.00030094,X,X,X,X,X,X,X,X,0.000147,3,1,2,0,1,2,2,6.6,0.0000901,X,X,X,X,X,X,X,X,1,4,0,1,4,4,6.13,0.00018166,1,2,0,1,2,2,4.25,0.00009148,0.000121,3,1,1,0,1,1,1,13.68,0.00004242,1,2,0,1,2,2,4.25,0.00009596,1,2,0,1,2,2,4.25,0.00011065,X,X,X,X,X,X,X,X,0.000083,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,17.92,0.00013568,1,1,0,1,1,1,4.25,0.00004141,0.000089,2,,
1410,gi|6320268|ref|NP_010348.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is viable and displays decreased frequency of mitochondrial genome loss (petite formation); Aim7p [Saccharomyces cerev,149,17130,4.5,o,Q,AIM7,YDR063W,IV,1,1,0,1,1,1,7.38,0.00007369,X,X,X,X,X,X,X,X,2,4,0,2,4,4,14.77,0.00024132,X,X,X,X,X,X,X,X,0.000158,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,7.38,0.00007715,X,X,X,X,X,X,X,X,0.000077,1,1,4,0,1,4,4,16.11,0.00027653,1,1,0,1,1,1,7.38,0.00006588,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000171,2,1,1,0,1,1,1,7.38,0.0000641,1,2,0,1,2,2,7.38,0.00013102,1,1,0,1,1,1,7.38,0.00006462,1,2,0,1,2,2,7.38,0.00013016,0.000097,4,1,2,0,1,2,2,7.38,0.00012071,1,1,0,1,1,1,12.08,0.00006827,X,X,X,X,X,X,X,X,1,2,0,1,2,2,7.38,0.00012759,0.000106,3,1,2,0,1,2,2,7.38,0.00011759,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000118,1,,
1411,gi|6324374|ref|NP_014444.1|,"Subunit of an adoMet-dependent tRNA methyltransferase (MTase) complex (Trm11p-Trm112p), required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNAs; putative zinc binding subunit of other MTase-related proteins; Trm112p [Sacch",135,15066,4.8,o,Q,TRM112,YNR046W,XIV,X,X,X,X,X,X,X,X,1,1,0,1,1,1,12.59,0.00007583,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000076,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,12.59,0.00009088,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000091,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,6.67,0.00007271,1,2,0,1,2,2,12.59,0.00015753,X,X,X,X,X,X,X,X,0.000115,2,1,1,0,1,1,1,16.3,0.00007075,1,4,0,1,4,4,12.59,0.00028922,1,1,0,1,1,1,5.93,0.00007132,2,2,0,2,2,2,22.96,0.00014366,0.000144,4,2,3,0,2,3,3,19.26,0.00019985,1,2,0,1,2,2,12.59,0.0001507,X,X,X,X,X,X,X,X,1,2,0,1,2,2,12.59,0.00014082,0.000164,3,X,X,X,X,X,X,X,X,1,2,0,1,2,2,6.67,0.00013199,1,2,0,1,2,2,12.59,0.00014204,X,X,X,X,X,X,X,X,0.000137,2,,
1412,gi|6319526|ref|NP_009608.1|,Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; Rfs1p [Saccharomyces cerevisiae] ,210,22921,5.3,o,Q,RFS1,YBR052C,II,2,3,0,2,3,3,11.9,0.00015685,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,4.29,0.00010476,0.000131,2,1,1,0,1,1,1,4.29,0.00005286,2,2,0,2,2,2,11.9,0.00011684,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000085,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,4.29,0.00009349,1,1,0,1,1,1,12.86,0.00005063,1,1,0,1,1,1,4.29,0.00005541,0.000067,3,2,3,0,2,3,3,22.38,0.00013644,3,5,0,3,5,5,16.67,0.00023241,3,4,0,3,4,4,30,0.00018339,3,5,0,3,5,5,26.67,0.00023089,0.000196,4,X,X,X,X,X,X,X,X,3,4,0,3,4,4,18.1,0.00019376,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000194,1,1,1,0,1,1,1,4.29,0.00004171,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000042,1,,
1413,gi|6323878|ref|NP_013949.1|,Serine hydrolase that localizes to the cytoplasm; sequence is similar to Fsh1p and Fsh3p; Fsh2p [Saccharomyces cerevisiae] ,223,24534,4.8,o,Q,FSH2,YMR222C,XIII,1,2,0,1,2,2,8.07,0.00009847,3,7,0,3,7,7,14.8,0.00032134,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00021,2,2,3,0,2,3,3,23.32,0.00014933,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000149,1,1,1,0,1,1,1,5.83,0.00004619,1,2,0,1,2,2,8.07,0.00008804,3,3,0,3,3,3,20.63,0.00014305,X,X,X,X,X,X,X,X,0.000092,3,1,2,0,1,2,2,8.07,0.00008566,2,6,0,2,6,6,21.97,0.00026263,2,3,0,2,3,3,23.32,0.00012953,2,5,0,2,5,5,23.32,0.00021743,0.000174,4,X,X,X,X,X,X,X,X,1,1,0,1,1,1,8.07,0.00004562,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000046,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,8.07,0.00003995,1,1,0,1,1,1,8.07,0.00004299,X,X,X,X,X,X,X,X,0.000041,2,,
1414,gi|6323155|ref|NP_013227.1|,Putative protein of unknown function with similarity to glutamine amidotransferase proteins; has Aft1p-binding motif in the promoter; may be involved in copper and iron homeostasis; YLR126C is not an essential protein; Ylr126cp [Saccharomyces cerevisiae] ,251,28826,5.3,o,Q,,YLR126C,XII,1,4,0,1,4,4,5.18,0.00017497,1,2,0,1,2,2,7.17,0.00008157,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000128,2,1,1,0,1,1,1,12.75,0.00004422,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.18,0.00004167,0.000043,2,3,4,0,3,4,4,22.31,0.00016415,1,2,0,1,2,2,5.18,0.00007822,1,1,0,1,1,1,5.18,0.00004236,X,X,X,X,X,X,X,X,0.000095,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,6.77,0.00003836,X,X,X,X,X,X,X,X,0.000038,1,4,7,0,4,7,7,29.08,0.00025081,1,1,0,1,1,1,7.17,0.00004053,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000146,2,2,5,0,2,5,5,17.13,0.0001745,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.98,0.0000382,1,2,0,1,2,2,6.77,0.00006995,0.000094,3,,
1415,gi|10383784|ref|NP_009942.2|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; YCR016W is not an essential gene; Ycr016wp [Saccharomyces cerevisiae] ,290,33593,7.9,o,Q,,YCR016W,III,1,1,0,1,1,1,2.41,0.00003786,1,1,0,1,1,1,4.83,0.0000353,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000037,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.83,0.0000423,1,1,0,1,1,1,3.45,0.00003964,X,X,X,X,X,X,X,X,0.000041,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3,5,0,3,5,5,22.41,0.00018333,X,X,X,X,X,X,X,X,0.000183,1,X,X,X,X,X,X,X,X,3,3,0,3,3,3,12.41,0.00010098,1,1,0,1,1,1,8.28,0.0000332,X,X,X,X,X,X,X,X,0.000067,2,1,1,0,1,1,1,2.41,0.00003101,2,3,0,2,3,3,11.72,0.00010523,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.83,0.00003278,0.000056,3,X,X,X,X,X,X,X,X,3,4,0,3,4,4,12.41,0.00012289,4,6,0,4,6,6,20.69,0.00019837,1,1,0,1,1,1,2.41,0.00003027,0.000117,3,,
1416,gi|6320950|ref|NP_011029.1|,Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; Ssa4p [Saccharo,642,69651,5.1,o,Q,SSA4,YER103W,V,16,167,165,2,2,6.493836456,22.12,0.00011106,16,130,127,2,3,5.325568449,23.52,0.00008492,16,152,148,3,4,7.745166269,25.7,0.00010844,7,90,90,0,0,0,9.97,X,0.000101,3,13,163,161,1,2,4.160913952,17.45,0.00007194,15,174,170,1,4,7.670023518,18.85,0.00014657,14,120,119,1,1,2.395555556,18.85,0.00004289,9,141,141,0,0,0,11.37,X,0.000087,3,15,156,155,1,1,2.39894769,19.31,0.00003849,10,116,116,0,0,0,14.49,X,14,98,96,2,2,4.122015143,18.22,0.00006827,15,100,98,1,2,3.876806962,19.31,0.00007027,0.000059,3,10,122,122,0,0,0,14.49,X,16,127,123,1,4,8.799081083,19.31,0.00013379,10,92,92,0,0,0,14.49,X,11,136,136,0,0,0,14.49,X,0.000134,1,12,95,95,0,0,0,16.36,X,9,115,115,0,0,0,12.15,X,8,99,99,0,0,0,14.02,X,14,123,122,1,1,1.8089316,17.45,0.00002678,0.000027,1,14,278,276,1,2,4.5912764,17.45,0.00006265,17,535,533,2,2,8.302661161,20.87,0.00011522,7,215,215,0,0,0,11.06,X,11,233,233,0,0,0,12.77,X,0.000089,2,,
1417,gi|6322877|ref|NP_012950.1|,RNA polymerase III subunit C37; Rpc37p [Saccharomyces cerevisiae] ,282,32142,4.5,o,Q,RPC37,YKR025W,XI,1,1,0,1,1,1,5.32,0.00003893,1,2,0,1,2,2,6.38,0.0000726,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000056,2,1,2,0,1,2,2,7.45,0.00007873,2,3,0,2,3,3,13.83,0.00013051,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000105,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,4.26,0.00007541,1,2,0,1,2,2,7.45,0.00008253,0.000079,2,X,X,X,X,X,X,X,X,3,5,0,3,5,5,18.09,0.00017307,X,X,X,X,X,X,X,X,2,4,0,2,4,4,11.7,0.00013755,0.000155,2,1,2,0,1,2,2,4.26,0.00006378,1,1,0,1,1,1,7.45,0.00003607,X,X,X,X,X,X,X,X,1,1,0,1,1,1,6.38,0.00003371,0.000045,3,1,2,0,1,2,2,7.45,0.00006213,1,1,0,1,1,1,3.19,0.00003159,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000047,2,,
1418,gi|6323107|ref|NP_013179.1|,"v-SNARE (vesicle specific SNAP receptor), localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi; Bos1p [Saccharomyces cerevisiae] ",244,27500,8.9,i223-240o,Q,BOS1,YLR078C,XII,1,1,0,1,1,1,5.74,0.000045,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,5.74,0.00009017,0.000068,2,X,X,X,X,X,X,X,X,2,3,0,2,3,3,15.57,0.00015084,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000151,1,X,X,X,X,X,X,X,X,1,2,0,1,2,2,5.74,0.00008046,1,2,0,1,2,2,5.74,0.00008716,X,X,X,X,X,X,X,X,0.000084,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.74,0.00004001,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.74,0.00003974,0.00004,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,5.74,0.00008338,1,1,0,1,1,1,5.74,0.00004807,1,1,0,1,1,1,11.07,0.00003896,0.000057,3,1,1,0,1,1,1,11.07,0.0000359,1,2,0,1,2,2,5.74,0.00007303,X,X,X,X,X,X,X,X,1,4,0,1,4,4,5.74,0.00014391,0.000084,3,,
